1,Human,Human,0,Human,21,game00001.log,
2,GreedyPlayer,RandomPlayer,0,GreedyPlayer,37,game00002.log,
3,RandomPlayer,GreedyPlayer,1,GreedyPlayer,21,game00003.log,
4,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00004.log,
5,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,14,game00005.log,
6,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00006.log,
7,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,20,game00007.log,
8,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00008.log,
9,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00009.log,
10,Human,xxxxxxxxx,1,xxxxxxxxx,18,game00010.log,
11,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00011.log,
12,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,15,game00012.log,
13,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,10,game00013.log,
14,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,15,game00014.log,
15,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,14,game00015.log,
16,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00016.log,
17,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00017.log,
18,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00018.log,
19,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,21,game00019.log,
20,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,19,game00020.log,
21,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,25,game00021.log,
22,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,21,game00022.log,
23,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,25,game00023.log,
24,RandomPlayer,xxxxxxxxx,1,xxxxxxxxx,12,game00024.log,
25,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,26,game00025.log,
27,xxxxxxxxx,GreedyPlayer,1,GreedyPlayer,22,game00027.log,
28,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,20,game00028.log,
29,GreedyPlayer,xxxxxxxxx,1,xxxxxxxxx,13,game00029.log,
30,RandomPlayer,xxxxxxxxx,1,xxxxxxxxx,27,game00030.log,
31,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,201,game00031.log,
33,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,1,game00033.log,TIMEOUT
34,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,13,game00034.log,
39,xxxxxxxxx,xxxxxxxxx,1,xxxxxxxxx,20,game00039.log,
41,xxxxxxxxx,GreedyPlayer,0,xxxxxxxxx,18,game00041.log,
42,xxxxxxxxx,xxxxxxxxx,0,xxxxxxxxx,22,game00042.log,
43,260556530,260556530,0,260556530,25,game00043.log,
44,GreedyPlayer,260556530,1,260556530,13,game00044.log,
45,260556530,260556530,GAMEOVER USER CANCEL UNDECIDED,NOBODY,0,game00045.log,USER CANCEL
46,260556530,260556530,1,260556530,0,game00046.log,TIMEOUT
47,260556530,260556530,0,260556530,25,game00047.log,
48,260556530,260556530,0,260556530,25,game00048.log,
49,GreedyPlayer,260556530,1,260556530,13,game00049.log,
50,GreedyPlayer,260556530,1,260556530,13,game00050.log,
51,GreedyPlayer,260556530,1,260556530,13,game00051.log,
52,260556530,260556530,0,260556530,25,game00052.log,
54,260556530,260556530,1,260556530,31,game00054.log,
55,260556530,260556530,1,260556530,20,game00055.log,
56,260556530,260556530,1,260556530,20,game00056.log,
57,260556530,260556530,1,260556530,15,game00057.log,
58,GreedyPlayer,260556530,1,260556530,15,game00058.log,
59,GreedyPlayer,260556530,1,260556530,15,game00059.log,
60,260556530,GreedyPlayer,0,260556530,13,game00060.log,
61,260556530,GreedyPlayer,0,260556530,13,game00061.log,
62,GreedyPlayer,260556530,1,260556530,13,game00062.log,
63,GreedyPlayer,260556530,1,260556530,13,game00063.log,
64,GreedyPlayer,260556530,1,260556530,13,game00064.log,
65,260556530,GreedyPlayer,0,260556530,13,game00065.log,
66,260556530,GreedyPlayer,0,260556530,13,game00066.log,
67,GreedyPlayer,260556530,1,260556530,13,game00067.log,
68,260556530,260556530,0,260556530,25,game00068.log,
69,260556530,260556530,1,260556530,31,game00069.log,
70,GreedyPlayer,260556530,1,260556530,19,game00070.log,
73,260556530,260556530,0,260556530,25,game00073.log,
74,260556530,260556530,0,260556530,25,game00074.log,
75,GreedyPlayer,260556530,1,260556530,19,game00075.log,
76,260556530,GreedyPlayer,0,260556530,13,game00076.log,
77,260556530,260556530,1,260556530,31,game00077.log,
78,260556530,260556530,1,260556530,20,game00078.log,
79,260556530,260556530,1,260556530,15,game00079.log,
80,260556530,GreedyPlayer,0,260556530,11,game00080.log,
81,GreedyPlayer,260556530,1,260556530,15,game00081.log,
83,GreedyPlayer,260556530,1,260556530,13,game00083.log,
84,GreedyPlayer,260556530,1,260556530,13,game00084.log,
85,GreedyPlayer,260556530,1,260556530,13,game00085.log,
87,GreedyPlayer,260556530,1,260556530,13,game00087.log,
88,GreedyPlayer,260556530,1,260556530,13,game00088.log,
89,GreedyPlayer,260556530,1,260556530,16,game00089.log,
90,GreedyPlayer,260556530,1,260556530,18,game00090.log,
91,260556530,260556530,1,260556530,21,game00091.log,
92,GreedyPlayer,260556530,1,260556530,12,game00092.log,
93,GreedyPlayer,260556530,1,260556530,23,game00093.log,
94,GreedyPlayer,260556530,1,260556530,15,game00094.log,
95,GreedyPlayer,260556530,1,260556530,13,game00095.log,
96,260556530,260556530,0,260556530,25,game00096.log,
97,260556530,260556530,1,260556530,15,game00097.log,
98,GreedyPlayer,260556530,1,260556530,12,game00098.log,
99,260556530,260556530,1,260556530,21,game00099.log,
100,GreedyPlayer,260556530,1,260556530,21,game00100.log,
101,GreedyPlayer,GreedyPlayer,0,GreedyPlayer,25,game00101.log,
102,GreedyPlayer,GreedyPlayer,0,GreedyPlayer,25,game00102.log,
103,GreedyPlayer,260556530,1,260556530,23,game00103.log,
104,GreedyPlayer,GreedyPlayer,0,GreedyPlayer,25,game00104.log,
105,GreedyPlayer,260556530,1,260556530,23,game00105.log,
106,GreedyPlayer,260556530,1,260556530,23,game00106.log,
107,GreedyPlayer,260556530,1,260556530,24,game00107.log,
108,260556530,260556530,1,260556530,15,game00108.log,
109,260556530,GreedyPlayer,1,GreedyPlayer,15,game00109.log,
110,260556530,GreedyPlayer,1,GreedyPlayer,15,game00110.log,
111,GreedyPlayer,260556530,0,GreedyPlayer,24,game00111.log,
112,260556530,GreedyPlayer,1,GreedyPlayer,23,game00112.log,
113,GreedyPlayer,260556530,1,260556530,24,game00113.log,
114,260556530,260556530,1,260556530,15,game00114.log,
115,260556530,GreedyPlayer,1,GreedyPlayer,15,game00115.log,
116,GreedyPlayer,GreedyPlayer,0,GreedyPlayer,25,game00116.log,
117,GreedyPlayer,GreedyPlayer,0,GreedyPlayer,25,game00117.log,
118,260556530,GreedyPlayer,1,GreedyPlayer,15,game00118.log,
119,GreedyPlayer,260556530,1,260556530,24,game00119.log,
120,260556530,260556530,1,260556530,15,game00120.log,
121,GreedyPlayer,260556530,0,GreedyPlayer,25,game00121.log,
122,260556530,GreedyPlayer,1,GreedyPlayer,23,game00122.log,
123,GreedyPlayer,260556530,0,GreedyPlayer,24,game00123.log,
124,260556530,GreedyPlayer,1,GreedyPlayer,23,game00124.log,
125,GreedyPlayer,GreedyPlayer,0,GreedyPlayer,25,game00125.log,
126,GreedyPlayer,GreedyPlayer,0,GreedyPlayer,25,game00126.log,
127,GreedyPlayer,260556530,0,GreedyPlayer,25,game00127.log,
128,GreedyPlayer,260556530,0,GreedyPlayer,24,game00128.log,
129,GreedyPlayer,260556530,0,GreedyPlayer,39,game00129.log,
130,GreedyPlayer,260556530,0,GreedyPlayer,15,game00130.log,
131,GreedyPlayer,260556530,1,260556530,18,game00131.log,
132,GreedyPlayer,260556530,1,260556530,18,game00132.log,
133,260556530,GreedyPlayer,1,GreedyPlayer,41,game00133.log,
134,GreedyPlayer,GreedyPlayer,0,GreedyPlayer,25,game00134.log,
135,GreedyPlayer,GreedyPlayer,0,GreedyPlayer,25,game00135.log,
137,260556530,260556530,1,260556530,46,game00137.log,
138,GreedyPlayer,260556530,1,260556530,18,game00138.log,
139,GreedyPlayer,260556530,1,260556530,18,game00139.log,
140,GreedyPlayer,260556530,1,260556530,18,game00140.log,
141,GreedyPlayer,260556530,1,260556530,18,game00141.log,
142,GreedyPlayer,260556530,1,260556530,18,game00142.log,
143,GreedyPlayer,260556530,1,260556530,18,game00143.log,
144,GreedyPlayer,260556530,1,260556530,18,game00144.log,
145,GreedyPlayer,260556530,1,260556530,18,game00145.log,
146,GreedyPlayer,260556530,1,260556530,18,game00146.log,
147,GreedyPlayer,260556530,1,260556530,18,game00147.log,
148,GreedyPlayer,260556530,1,260556530,18,game00148.log,
149,GreedyPlayer,260556530,1,260556530,18,game00149.log,
150,GreedyPlayer,260556530,1,260556530,18,game00150.log,
151,GreedyPlayer,260556530,0,GreedyPlayer,18,game00151.log,
152,GreedyPlayer,GreedyPlayer,0,GreedyPlayer,25,game00152.log,
153,GreedyPlayer,260556530,0,GreedyPlayer,18,game00153.log,
154,GreedyPlayer,260556530,1,260556530,21,game00154.log,
155,GreedyPlayer,260556530,1,260556530,13,game00155.log,
156,GreedyPlayer,260556530,1,260556530,13,game00156.log,
157,GreedyPlayer,260556530,1,260556530,13,game00157.log,
158,260556530,GreedyPlayer,1,GreedyPlayer,10,game00158.log,
159,GreedyPlayer,260556530,1,260556530,13,game00159.log,
160,260556530,GreedyPlayer,1,GreedyPlayer,10,game00160.log,
161,GreedyPlayer,260556530,1,260556530,13,game00161.log,
162,GreedyPlayer,260556530,1,260556530,13,game00162.log,
163,GreedyPlayer,260556530,1,260556530,21,game00163.log,
164,260556530,GreedyPlayer,0,260556530,26,game00164.log,
165,GreedyPlayer,260556530,1,260556530,23,game00165.log,
166,260556530,GreedyPlayer,1,GreedyPlayer,23,game00166.log,
167,260556530,GreedyPlayer,1,GreedyPlayer,25,game00167.log,
168,GreedyPlayer,260556530,1,260556530,21,game00168.log,
169,260556530,GreedyPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,17,game00169.log,
170,260556530,260556530,1,260556530,15,game00170.log,
171,GreedyPlayer,260556530,1,260556530,21,game00171.log,
172,260556530,GreedyPlayer,1,GreedyPlayer,16,game00172.log,
173,260556530,GreedyPlayer,0,260556530,26,game00173.log,
174,260556530,GreedyPlayer,0,260556530,26,game00174.log,
175,GreedyPlayer,260556530,1,260556530,21,game00175.log,
176,260556530,GreedyPlayer,1,GreedyPlayer,20,game00176.log,
177,260556530,GreedyPlayer,1,GreedyPlayer,20,game00177.log,
178,GreedyPlayer,260556530,1,260556530,11,game00178.log,
179,GreedyPlayer,260556530,1,260556530,201,game00179.log,
180,GreedyPlayer,260556530,1,260556530,12,game00180.log,
181,260556530,GreedyPlayer,1,GreedyPlayer,15,game00181.log,
182,260556530,GreedyPlayer,1,GreedyPlayer,15,game00182.log,
183,260556530,GreedyPlayer,1,GreedyPlayer,15,game00183.log,
184,GreedyPlayer,260556530,1,260556530,12,game00184.log,
185,GreedyPlayer,260556530,1,260556530,21,game00185.log,
186,260556530,GreedyPlayer,0,260556530,26,game00186.log,
187,GreedyPlayer,260556530,1,260556530,33,game00187.log,
188,260556530,GreedyPlayer,0,260556530,24,game00188.log,
189,RandomPlayer,260556530,1,260556530,24,game00189.log,
190,260556530,RandomPlayer,0,260556530,21,game00190.log,
191,GreedyPlayer,RandomPlayer,0,GreedyPlayer,27,game00191.log,
192,RandomPlayer,GreedyPlayer,1,GreedyPlayer,32,game00192.log,
193,RandomPlayer,260556530,1,260556530,22,game00193.log,
194,260556530,RandomPlayer,0,260556530,18,game00194.log,
